name,native name,iso code
Abkhazian,Аҧсуа,ab
Afar,Qafar af,aa
Afrikaans,Afrikaans,af
Akan,Ákán,ak
Albanian,Shqip,sq
Amharic,አማርኛ,am
Arabic,اَلْعَرَبِيَّةُ,ar
Aragonese,Aragonés,an
Armenian,Հայերեն,hy
Assamese,অসমীয়া,as
Avaric,Авар мацӏ,av
Avestan,Upastawakaēna,ae
Aymara,Aymara,ay
Azerbaijani,Azərbaycan dili,az
Bambara,بَمَنَنكَن ,bm
Bashkir,Башҡорт теле,ba
Basque,Euskara/Euskera,eu
Belarusian,Беларуская мова,be
Bengali,বাংলা,bn
Bislama,Bislama,bi
Bosnian,Босански,bs
Breton,Brezhoneg,br
Bulgarian,Български,bg
Burmese,မြန်မာစာ,my
Catalan,Català,ca
Chamorro,Finu' Chamoru,ch
Chechen,Нохчийн мотт,ce
Chichewa,Chichewa,ny
Chinese,中文 汉语,zh
Church Slavonic,Славе́нскїй ѧ҆зы́къ,cu
Chuvash,Чӑвашла,cv
Cornish,Kernowek,kw
Corsican,Corsu,co
Cree,ᓀᐦᐃᔭᐁᐧᐃᐧᐣ,cr
Croatian,Hrvatski,hr
Czech,Čeština,cs
Danish,Dansk,da
Divehi,ދިވެހި,dv
Dutch,Nederlands,nl
Dzongkha,རྫོང་ཁ་,dz
English,English,en
Esperanto,Esperanto,eo
Estonian,Eesti keel,et
Ewe,Èʋegbe,ee
Faroese,Føroyskt,fo
Fijian,Na Vosa Vakaviti,fj
Finnish,Suomi,fi
French,Français,fr
Western Frisian,Frysk,fy
Fulah,𞤊𞤵𞤤𞤬𞤵𞤤𞤣𞤫 ,ff
Gaelic,Gàidhlig,gd
Galician,Galego,gl
Ganda,Luganda,lg
Georgian,ქართული,ka
German,Deutsch,de
Greek,Νέα Ελληνικά,el
Kalaallisut,Kalaallisut,kl
Guarani,Avañe'ẽ,gn
Gujarati,ગુજરાતી,gu
Haitian,Kreyòl ayisyen,ht
Hausa,هَرْشٜن هَوْس,ha
Hebrew,עברית‎,he
Herero,Otjiherero,hz
Hindi,हिन्दी,hi
Hiri Motu,Hiri Motu,ho
Hungarian,Magyar nyelv,hu
Icelandic,Íslenska,is
Ido,Ido,io
Igbo,ásụ̀sụ́ Ìgbò,ig
Indonesian,bahasa Indonesia,id
Interlingua,Interlingua,ia
Interlingue,Interlingue,ie
Inuktitut,ᐃᓄᒃᑎᑐᑦ,iu
Inupiaq,Iñupiaq,ik
Irish,Gaeilge,ga
Italian,Italiano,it
Japanese,日本語,ja
Javanese,ꦧꦱꦗꦮ,jv
Kannada,ಕನ್ನಡ,kn
Kanuri,كَنُرِيِه,kr
Kashmiri,कॉशुर,ks
Kazakh,Қазақша,kk
Central Khmer,ខេមរភាសា,km
Kikuyu,Gĩgĩkũyũ,ki
Kinyarwanda,Ikinyarwanda,rw
Kyrgyz,Кыргыз,ky
Komi,Коми кыв,kv
Kongo,Kikongo,kg
Korean,한국어 조선말,ko
Kuanyama,Oshikwanyama,kj
Kurdish,کوردی,ku
Lao,ພາສາລາວ,lo
Latin,Latinum,la
Latvian,Latviski,lv
Limburgan,Lèmburgs,li
Lingala,Lingála,ln
Lithuanian,Lietuvių,lt
Luba-Katanga,Kiluba,lu
Luxembourgish,Lëtzebuergesch,lb
Macedonian,Македонски,mk
Malagasy,مَلَغَسِ,mg
Malay,بهاس ملايو,ms
Malayalam,മലയാളം,ml
Maltese,Malti,mt
Manx,Gaelg,gv
Maori,reo Māori,mi
Marathi,मराठी,mr
Marshallese,kajin M̧ajel‌̧,mh
Mongolian,ᠮᠣᠩᠭᠣᠯᠬᠡᠯᠡ,mn
Nauru,dorerin Naoe,na
Navajo,Diné bizaad,nv
North Ndebele,isiNdebele,nd
South Ndebele,isiNdebele,nr
Ndonga,Ndonga,ng
Nepali,नेपाली भाषा,ne
Norwegian,Norsk,no
Norwegian Bokmål,Norsk Bokmål,nb
Norwegian Nynorsk,Norsk Nynorsk,nn
Occitan,Occitan,oc
Ojibwa,ᐊᓂᔑᓈᐯᒧᐎᓐ,oj
Oriya,ଓଡ଼ିଆ,or
Oromo,afaan Oromoo,om
Ossetian,ирон Ӕвзаг,os
Pali,Pāli,pi
Pashto,پښتو,ps
Persian,فارسی,fa
Polish,Polski,pl
Portuguese,Português,pt
Punjabi,ਪੰਜਾਬੀ,pa
Quechua,Runa simi,qu
Romanian,Română,ro
Romansh,Rumantsch,rm
Rundi,Ikirundi,rn
Russian,Русский язык,ru
Northern Sami,Davvisámegiella,se
Samoan,gagana Sāmoa,sm
Sango,yângâ tî Sängö,sg
Sanskrit,संस्कृतम्,sa
Sardinian,Sardu,sc
Serbian,Српски,sr
Shona,chiShona,sn
Sindhi,سنڌي,sd
Sinhala,සිංහල,si
Slovak,Slovenčina,sk
Slovenian,Slovenščina,sl
Somali,Soomaali,so
Southern Sotho,Sesotho,st
Spanish,Español,es
Sundanese,basa Sunda,su
Swahili,Kiswahili,sw
Swati,siSwati,ss
Swedish,Svenska,sv
Tagalog,Wikang Tagalog,tl
Tahitian,reo Tahiti,ty
Tajik,Тоҷикӣ,tg
Tamil,தமிழ்,ta
Tatar,Татар теле,tt
Telugu,తెలుగు,te
Thai,ภาษาไทย,th
Tibetan,བོད་སྐད་,bo
Tigrinya,ትግርኛ,ti
Tonga,lea faka-Tonga,to
Tsonga,Xitsonga,ts
Tswana,Setswana,tn
Turkish,Türkçe,tr
Turkmen,Türkmençe,tk
Twi,Twi,tw
Uighur,ئۇيغۇر تىلى,ug
Ukrainian,Українська,uk
Urdu,اُردُو,ur
Uzbek,Ózbekça,uz
Venda,Tshivenḓa,ve
Vietnamese,tiếng Việt,vi
Volapük,Volapük,vo
Walloon,Walon,wa
Welsh,Cymraeg,cy
Wolof,وࣷلࣷفْ,wo
Xhosa,isiXhosa,xh
Sichuan Yi,ꆈꌠꉙ,ii
Yiddish,ייִדיש,yi
Yoruba,èdè Yorùbá,yo
Zhuang,話僮,za
Zulu,isiZulu,zu
